obsv_name_nm,sdnm_nm,sgnm_nm,sggnm_nm,umdnm_nm,ri_nm,decdt_dt,lev_hg,decrst_cn
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-14,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-18,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-07,17.530,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-16,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-05,17.530,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-03,17.603,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-17,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-12,17.603,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-19,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-04,17.603,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-02,17.603,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-13,17.603,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-06,17.530,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-08,17.530,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-10,17.462,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-01,17.603,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-09,17.530,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-15,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-20,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-22,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-11,17.530,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-29,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-26,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-30,18.295,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-24,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-23,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-28,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-25,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-27,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-06-21,17.981,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-14,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-18,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-07,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-16,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-05,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-03,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-17,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-12,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-19,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-04,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-02,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-13,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-06,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-08,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-10,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-01,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-09,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-15,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-20,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-22,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-11,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-29,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-26,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-30,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-24,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-23,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-28,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-25,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-27,4.071,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-06-21,4.071,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-11,26.562,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-14,26.832,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-18,26.859,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-07,26.562,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-16,26.913,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-05,26.590,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-03,26.699,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-17,26.859,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-12,26.562,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-19,27.207,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-04,26.645,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-02,26.699,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-13,26.533,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-06,26.590,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-08,26.590,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-10,26.590,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-01,26.725,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-09,26.562,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-15,26.913,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-20,27.370,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-22,27.239,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-29,27.055,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-26,27.145,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-30,27.239,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-24,27.085,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-23,27.176,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-28,27.085,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-25,27.085,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-27,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-06-21,27.304,정상
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-06-11,51.498,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-06-14,51.677,정상
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-06-18,51.546,정상
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-06-07,51.546,정상
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-06-16,51.666,정상
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-06-05,51.539,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-06-03,51.516,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-06-17,51.638,정상
