obsv_name_nm,sdnm_nm,sgnm_nm,sggnm_nm,umdnm_nm,ri_nm,decdt_dt,lev_hg,decrst_cn
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-06,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-02,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-05,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-04,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-01,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-03,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-25,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-14,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-16,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-10,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-18,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-22,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-28,18.295,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-09,18.295,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-27,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-20,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-11,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-29,18.295,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-21,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-12,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-07,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-19,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-15,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-13,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-08,18.295,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-30,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-23,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-17,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-24,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-26,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-01-31,18.118,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-06,-3.748,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-02,-3.503,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-05,-3.503,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-04,-3.503,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-01,-3.503,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-03,-3.503,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-25,-3.261,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-14,-3.748,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-16,-4.398,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-10,-3.261,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-18,-3.982,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-22,-4.198,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-28,-2.161,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-09,-2.470,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-27,-2.470,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-20,-3.982,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-29,-2.830,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-11,-3.503,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-21,-4.198,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-12,-3.982,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-07,-2.161,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-19,-3.982,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-15,-3.982,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-13,-4.398,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-08,-1.777,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-30,-2.643,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-23,-3.035,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-17,-3.982,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-24,-3.035,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-26,-2.830,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-01-31,-3.035,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-06,27.085,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-02,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-05,27.085,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-04,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-01,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-03,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-25,27.176,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-14,27.207,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-16,27.207,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-10,27.271,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-18,27.207,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-22,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-28,27.337,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-01-09,27.304,정상
