obsv_name_nm,sdnm_nm,sgnm_nm,sggnm_nm,umdnm_nm,ri_nm,decdt_dt,lev_hg,decrst_cn
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-04,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-02,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-03,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-07,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-06,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-05,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-01,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-08,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-21,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-25,17.868,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-13,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-22,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-10,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-29,17.682,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-27,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-23,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-16,17.682,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-28,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-12,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-19,17.682,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-30,17.682,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-18,22.127,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-15,17.682,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-20,18.118,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-17,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-26,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-11,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-09,17.769,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-24,17.981,정상
창원합성,경상남도,창원시,창원시마산회원구,합성동,0,2020-11-14,17.682,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-04,0.238,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-02,0.238,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-03,0.280,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-07,0.195,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-06,-0.230,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-05,0.107,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-01,0.195,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-08,0.238,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-25,-0.230,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-21,0.062,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-13,-0.080,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-22,-0.129,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-10,0.151,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-29,-1.667,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-27,-0.282,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-23,-0.032,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-16,-0.080,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-28,-0.992,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-12,-0.032,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-19,0.107,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-30,-2.161,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-18,0.062,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-20,0.238,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-17,0.016,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-26,-0.282,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-11,-0.032,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-09,0.195,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-24,-0.179,정상
밀양하남,경상남도,밀양시,밀양시,하남읍,수산리,2020-11-14,-0.230,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-04,27.145,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-02,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-03,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-07,27.145,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-06,27.145,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-05,27.176,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-01,27.145,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-08,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-25,26.913,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-21,26.969,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-13,27.055,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-22,26.969,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-10,27.085,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-29,26.832,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-27,26.859,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-23,26.941,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-16,26.997,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-28,26.859,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-12,27.085,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-19,26.969,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-30,26.832,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-18,26.969,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-20,26.997,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-17,26.997,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-26,26.886,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-11,27.055,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-09,27.115,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-24,26.941,정상
사천사천,경상남도,사천시,사천시,사천읍,구암리,2020-11-14,27.055,정상
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-04,51.489,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-02,51.498,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-03,51.498,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-07,51.489,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-06,51.489,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-05,51.489,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-01,51.498,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-08,51.489,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-25,51.440,주의
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-21,51.489,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-13,51.466,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-22,51.478,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-10,51.478,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-29,51.377,주의
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-27,51.440,주의
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-23,51.478,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-16,51.454,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-28,51.425,주의
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-12,51.466,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-19,51.466,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-30,51.360,경계
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-18,52.937,정상
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-15,51.454,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-20,51.524,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-17,51.454,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-26,51.440,주의
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-11,51.478,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-09,51.478,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-24,51.454,관심
산청단성,경상남도,산청군,산청군,단성면,남사리,2020-11-14,51.454,관심
남해남해,경상남도,남해군,남해군,남해읍,아산리,2020-11-04,81.178,정상
남해남해,경상남도,남해군,남해군,남해읍,아산리,2020-11-02,81.196,정상
남해남해,경상남도,남해군,남해군,남해읍,아산리,2020-11-03,81.196,정상
남해남해,경상남도,남해군,남해군,남해읍,아산리,2020-11-07,81.143,정상
남해남해,경상남도,남해군,남해군,남해읍,아산리,2020-11-06,81.126,정상
남해남해,경상남도,남해군,남해군,남해읍,아산리,2020-11-05,81.160,정상
남해남해,경상남도,남해군,남해군,남해읍,아산리,2020-11-01,81.196,정상
